marque,modele,annee,annee_i,Type,SousType,carburant,carburant_n,tranche_km,n_total,prix_min_w,prix_max_w,prix_moyen_w,prix_median_w,prix_min_estime,prix_max_estime,prix_moyen_estime,prix_median_estime,prix_moyen_final,estimation_eur_f,roi_brut_mensuel,payback_mois,taux_rentabilite,presence_marche_fuel,presence_marche_total,any_error,errors,statut,marque_n,modele_n
Citroen,C1,2024,2024,Citadine,Mini,,diesel,50-100 000 km,0.0,0.0,0.0,0.0,0.0,8495.0,10490.0,9544.0,9544.0,9544.0,216.0,0.022632020117351215,44.18518518518518,1.3579212070410729,0.0,0.0,True,,Devenu incompatible,citroen,c1
Citroen,C1,2024,2024,Citadine,Mini,,essence,50-100 000 km,0.0,0.0,0.0,0.0,0.0,8495.0,10490.0,9409.0,9490.0,9409.0,216.0,0.02295674354341588,43.56018518518518,1.3774046126049526,0.0,0.0,True,Error: Page.goto: net::ERR_CONNECTION_CLOSED at https://www.autoscout24.be/fr/lst/citroen/c1?atype=C&cy=B&ustate=U&damaged_listing=exclude&sort=standard&fregfrom=2024&fregto=2024&kmfrom=50000&kmto=100000,Devenu incompatible,citroen,c1
Citroen,C1,2025,2025,Citadine,Mini,,diesel,0-50 000 km,0.0,0.0,0.0,0.0,0.0,8495.0,10490.0,9544.0,9544.0,9544.0,234.0,0.02451802179379715,40.78632478632478,1.471081307627829,0.0,0.0,True,,Devenu incompatible,citroen,c1
Citroen,C1,2025,2025,Citadine,Mini,,essence,0-50 000 km,0.0,0.0,0.0,0.0,0.0,8495.0,10490.0,9395.0,9490.0,9395.0,234.0,0.024906865353911654,40.14957264957265,1.4944119212346993,0.0,0.0,True,,Devenu incompatible,citroen,c1
Citroen,C1,2025,2025,Citadine,Mini,,diesel,100-150 000 km,0.0,0.0,0.0,0.0,0.0,8495.0,10490.0,9544.0,9544.0,9544.0,234.0,0.02451802179379715,40.78632478632478,1.471081307627829,0.0,0.0,True,,Devenu incompatible,citroen,c1
Citroen,C1,2025,2025,Citadine,Mini,,essence,100-150 000 km,0.0,0.0,0.0,0.0,0.0,8495.0,10490.0,9544.0,9544.0,9544.0,234.0,0.02451802179379715,40.78632478632478,1.471081307627829,0.0,0.0,True,,Devenu incompatible,citroen,c1
Citroen,C1,2025,2025,Citadine,Mini,,diesel,50-100 000 km,0.0,0.0,0.0,0.0,0.0,8495.0,10490.0,9544.0,9544.0,9544.0,234.0,0.02451802179379715,40.78632478632478,1.471081307627829,0.0,0.0,True,TimeoutError: Page.goto: Timeout 30000ms exceeded.,Devenu incompatible,citroen,c1
Citroen,C1,2025,2025,Citadine,Mini,,essence,50-100 000 km,0.0,0.0,0.0,0.0,0.0,8495.0,10490.0,9409.0,9490.0,9409.0,234.0,0.0248698055053672,40.20940170940171,1.492188330322032,0.0,0.0,True,,Devenu incompatible,citroen,c1
Citroen,C3,2016,2016,Citadine,Polyvalente,,diesel,0-50 000 km,9.0,4000.0,8000.0,5861.0,5900.0,4000.0,8000.0,5861.0,5900.0,5861.0,330.0,0.056304384917249616,17.76060606060606,3.378263095034977,27.0,57.0,False,,Compatible stable,citroen,c3
Citroen,C3,2016,2016,Citadine,Polyvalente,,essence,0-50 000 km,10.0,4000.0,10990.0,6303.0,5700.0,4000.0,10990.0,6303.0,5700.0,6303.0,330.0,0.05235602094240838,19.1,3.141361256544503,30.0,57.0,False,,Compatible stable,citroen,c3
Citroen,C3,2016,2016,Citadine,Polyvalente,,diesel,100-150 000 km,9.0,4000.0,8490.0,6032.0,5900.0,4000.0,8490.0,6032.0,5900.0,6032.0,330.0,0.054708222811671085,18.278787878787877,3.282493368700265,27.0,57.0,False,,Compatible stable,citroen,c3
Citroen,C3,2016,2016,Citadine,Polyvalente,,essence,100-150 000 km,10.0,3000.0,5900.0,4350.0,4375.0,3000.0,5900.0,4350.0,4375.0,4350.0,330.0,0.07586206896551724,13.181818181818182,4.551724137931035,30.0,57.0,False,,Compatible stable,citroen,c3
Citroen,C3,2016,2016,Citadine,Polyvalente,,diesel,50-100 000 km,9.0,4000.0,8000.0,5861.0,5900.0,4000.0,8000.0,5861.0,5900.0,5861.0,330.0,0.056304384917249616,17.76060606060606,3.378263095034977,27.0,57.0,False,,Compatible stable,citroen,c3
Citroen,C3,2016,2016,Citadine,Polyvalente,,essence,50-100 000 km,10.0,4800.0,9850.0,6458.0,6350.0,4800.0,9850.0,6458.0,6350.0,6458.0,330.0,0.05109941158253329,19.56969696969697,3.0659646949519974,30.0,57.0,False,,Compatible stable,citroen,c3
Citroen,C3,2017,2017,Citadine,Polyvalente,,diesel,0-50 000 km,10.0,3500.0,11399.0,6639.0,6674.0,3500.0,11399.0,6639.0,6674.0,6639.0,330.0,0.04970628106642567,20.118181818181817,2.98237686398554,29.0,58.0,False,,Compatible stable,citroen,c3
Citroen,C3,2017,2017,Citadine,Polyvalente,,essence,0-50 000 km,10.0,3500.0,15900.0,9140.0,8499.0,3500.0,15900.0,9140.0,8499.0,9140.0,330.0,0.036105032822757115,27.696969696969695,2.166301969365427,29.0,58.0,False,,Compatible stable,citroen,c3
Citroen,C3,2017,2017,Citadine,Polyvalente,,diesel,100-150 000 km,10.0,3500.0,8499.0,6294.0,6674.0,3500.0,8499.0,6294.0,6674.0,6294.0,330.0,0.052430886558627265,19.072727272727274,3.145853193517636,29.0,58.0,False,,Compatible stable,citroen,c3
Citroen,C3,2017,2017,Citadine,Polyvalente,,essence,100-150 000 km,9.0,5490.0,9950.0,6719.0,6750.0,5490.0,9950.0,6719.0,6750.0,6719.0,330.0,0.04911445155529096,20.36060606060606,2.946867093317458,29.0,58.0,False,,Compatible stable,citroen,c3
Citroen,C3,2017,2017,Citadine,Polyvalente,,diesel,50-100 000 km,9.0,3500.0,10750.0,7099.0,6900.0,3500.0,10750.0,7099.0,6900.0,7099.0,330.0,0.046485420481757994,21.51212121212121,2.7891252289054798,29.0,58.0,False,,Compatible stable,citroen,c3
Citroen,C3,2017,2017,Citadine,Polyvalente,,essence,50-100 000 km,10.0,4851.0,8500.0,6872.0,6949.0,4851.0,8500.0,6872.0,6949.0,6872.0,330.0,0.0480209545983702,20.824242424242424,2.881257275902212,29.0,58.0,False,,Compatible stable,citroen,c3
